"id";"Name";"Start";"End";"Duration";"Effort";
"task_1";"مدیریت پروژه";"2025-07-01";"2025-12-28";180.0;4.0;
"task_1.task_1_1";"  تعریف اهداف پروژه";"2025-07-01";"2025-07-05";4.0;2.0;
"task_1.task_1_1.task_1_1_1";"    برنامه‌ریزی اولیه اهداف";"2025-07-01";"2025-07-03";2.0;2.0;
"task_1.task_1_2";"  زمان‌بندی (Gantt Chart)";"2025-07-06";"2025-07-12";6.0;2.0;
"task_1.task_1_2.task_1_2_1";"    تنظیم اولیه گانت";"2025-07-06";"2025-07-08";2.0;2.0;
"task_2";"آماده‌سازی سایت";"2025-07-13";"2025-08-11";29.0;10.0;
"task_2.task_2_1";"  حذف گیاهان و موانع";"2025-07-13";"2025-07-17";4.0;10.0;
"task_2.task_2_1.task_2_1_1";"    شناسایی موانع";"2025-07-13";"2025-07-15";2.0;10.0;
"task_3";"فونداسیون";"2025-08-12";"2025-09-10";29.0;45.0;
"task_3.task_3_1";"  آرماتوربندی پی";"2025-08-12";"2025-08-21";9.0;10.0;
"task_3.task_3_1.task_3_1_1";"    تهیه نقشه آرماتور";"2025-08-12";"2025-08-14";2.0;10.0;
"task_3.task_3_2";"  قالب‌بندی پی";"2025-08-22";"2025-08-26";4.0;10.0;
"task_3.task_3_2.task_3_2_1";"    تهیه مواد قالب‌بندی";"2025-08-22";"2025-08-24";2.0;10.0;
"task_3.task_3_3";"  بتن‌ریزی پی";"2025-08-27";"2025-09-02";6.0;10.0;
"task_3.task_3_3.task_3_3_1";"    آماده‌سازی بتن";"2025-08-27";"2025-08-29";2.0;10.0;
"task_3.task_3_4";"  عمل‌آوری بتن";"2025-09-03";"2025-09-07";4.0;10.0;
"task_3.task_3_4.task_3_4_1";"    نظارت بر عمل‌آوری";"2025-09-03";"2025-09-05";2.0;10.0;
"task_3.task_3_5";"  باز کردن قالب‌ها";"2025-09-08";"2025-09-10";2.0;5.0;
"task_3.task_3_5.task_3_5_1";"    بررسی قالب‌ها";"2025-09-08";"2025-09-09";1.0;5.0;
